ID,ES Score,OkapiTF Score,TFIDF Score,BM25 Score,Laplace Score,JM Score,Label
54-AP890821-0153,2.366388,1.277112,1.605217,5.401139,-82.024683,0.011562,0
54-AP890821-0154,7.54171,1.160864,1.597458,5.373423,-82.429714,0.009946,0
54-AP890825-0205,4.402347,1.977477,2.999617,6.263249,-82.019922,0.066806,0
54-AP890829-0083,14.57722,1.565299,2.544197,5.563038,-82.021104,0.065847,0
54-AP890902-0051,22.186256,2.652407,3.742515,9.685839,-79.419301,0.041538,0
54-AP890904-0030,17.356853,1.79104,2.729902,7.168521,-80.15208,0.042425,0
54-AP890904-0074,17.922356,1.839907,2.806834,7.165571,-80.318358,0.044585,0
54-AP890906-0048,6.911793,1.140389,1.837388,3.457147,-83.812345,0.036344,0
54-AP890907-0256,3.428831,0.437094,0.614811,2.590338,-83.817179,0.003576,0
54-AP890917-0082,14.547807,1.887224,2.321271,6.947148,-80.079125,0.027712,0
54-AP890918-0161,17.137547,1.722436,2.780086,6.717416,-81.798161,0.034069,0
54-AP890919-0128,14.489307,1.303168,2.059548,4.937927,-82.491843,0.028237,0
54-AP890920-0147,15.081926,1.410074,2.207837,5.186832,-82.021767,0.043898,0
54-AP890923-0085,18.522219,1.988824,3.039292,7.972213,-79.113621,0.057386,0
54-AP890925-0116,19.015154,2.256932,3.385219,8.727328,-78.978733,0.06906,0
54-AP890926-0150,13.8637,1.561457,1.999281,4.380139,-82.021125,0.064459,0
54-AP890929-0219,15.333633,2.1195,3.118154,9.062528,-78.828575,0.029537,0
54-AP891005-0109,20.249731,2.153774,3.239823,7.752864,-80.25812,0.053908,0
54-AP891005-0161,20.598677,2.402627,3.242985,8.54643,-79.314998,0.043243,0
54-AP891005-0258,12.251885,1.71829,2.437623,6.008468,-81.73384,0.031331,0
54-AP891005-0289,19.885406,2.076876,3.147304,8.141127,-79.498154,0.042425,0
54-AP891006-0048,14.038671,1.59821,2.3987,6.536142,-80.924851,0.036102,0
54-AP891006-0238,5.564557,0.91991,1.052737,2.961501,-83.121435,0.012257,0
54-AP891014-0089,11.829481,1.18321,2.053374,5.152555,-81.674858,0.044443,0
54-AP891016-0021,15.357692,1.471792,2.411116,5.911259,-81.288874,0.038129,0
54-AP891021-0138,13.270712,1.198377,2.01308,4.625951,-82.896945,0.029926,0
54-AP891026-0108,4.200405,1.282294,1.725196,5.346467,-82.428596,0.011823,0
54-AP891027-0039,3.858893,0.858603,1.192375,4.056637,-83.122603,0.007447,0
54-AP891027-0086,9.607154,1.777742,2.39177,7.263066,-80.808039,0.018756,0
54-AP891027-0132,12.440174,1.057774,1.660141,3.8621,-83.40774,0.018629,0
54-AP891030-0260,15.075884,2.47318,3.194087,8.046229,-80.411285,0.040103,0
54-AP891103-0147,13.886149,1.377006,2.218625,4.620195,-83.001674,0.045405,0
54-AP891106-0092,14.4925,1.369384,2.156513,5.057868,-82.309376,0.035864,0
54-AP891106-0193,2.506005,1.227601,1.597044,5.131185,-82.429072,0.010938,0
54-AP891107-0096,8.375003,1.284751,2.133153,4.467936,-83.119488,0.043486,0
54-AP891107-0123,19.205214,1.956501,3.048096,7.490147,-80.12535,0.055586,0
54-AP891113-0012,16.0141,1.50829,2.306563,6.676047,-81.043798,0.022866,0
54-AP891114-0172,15.664513,1.521588,2.434898,6.119801,-80.724482,0.037162,0
54-AP891114-0260,3.222707,0.319336,0.427322,1.328574,-84.507741,0.003407,0
54-AP891115-0045,12.39633,1.308914,2.026178,5.190523,-81.799659,0.032856,0
54-AP891115-0047,8.292271,0.749569,1.401203,3.426526,-83.254869,0.018701,0
54-AP891115-0246,2.454661,0.387066,0.315759,0.808380,-61.016726,0.005370,0
54-AP891116-0160,13.10144,1.219179,1.882905,4.285018,-82.896842,0.032409,0
54-AP891118-0018,12.492676,1.097475,1.875473,4.788692,-82.561602,0.022781,0
54-AP891118-0092,14.305846,1.320645,2.066242,5.092781,-82.155733,0.030932,0
54-AP891118-0101,15.524952,1.50828,2.255647,6.478879,-80.84591,0.031283,0
54-AP891119-0016,5.117524,0.692091,0.973486,2.829978,-83.814292,0.007151,0
54-AP891120-0188,13.126268,2.457627,3.168836,8.243917,-80.124276,0.0387,0
54-AP891121-0120,12.210979,1.239834,1.93271,5.044123,-82.156333,0.024067,0
54-AP891121-0251,5.117162,0.594913,0.796087,2.227286,-83.591957,0.008781,0
54-AP891122-0139,13.947668,1.283709,2.044347,5.562823,-81.646656,0.021065,0
54-AP891123-0014,14.801716,1.395425,2.219215,6.07442,-80.559661,0.02585,0
54-AP891123-0074,14.267483,1.334163,2.139153,5.720739,-81.464356,0.022987,0
54-AP891123-0126,14.70085,1.385493,2.254468,5.6994,-81.645694,0.028001,0
54-AP891129-0145,8.29975,1.254636,2.085827,4.456494,-83.119602,0.037666,0
54-AP891204-0282,8.337397,1.293054,1.862217,4.957517,-82.715027,0.016093,0
54-AP891207-0075,16.063862,1.647775,2.651319,6.339604,-80.318385,0.055317,0
54-AP891208-0221,7.384641,1.316904,1.816212,6.681247,-81.111929,0.012302,0
54-AP891209-0012,19.819836,2.150818,3.247654,6.932276,-81.391469,0.077552,0
54-AP891209-0055,14.671136,1.406215,2.243947,4.85456,-82.714199,0.043733,0
54-AP891209-0119,20.234978,2.251205,3.445366,7.859693,-80.111436,0.08335,0
54-AP891210-0032,15.428352,1.436113,2.292781,4.86678,-82.714075,0.050629,0
54-AP891211-0100,20.709787,2.176125,3.34266,7.677284,-80.516948,0.065377,0
54-AP891211-0158,11.442256,1.104016,1.734988,3.883414,-83.407543,0.021856,0
54-AP891212-0026,12.78965,1.365829,2.250605,5.25667,-82.309397,0.035397,0
54-AP891212-0076,15.907856,1.697522,2.746124,6.005913,-81.327936,0.100629,0
54-AP891212-0080,7.046372,1.247312,1.999448,6.285085,-81.620155,0.014422,0
54-AP891213-0082,14.613844,1.971741,2.914836,8.94634,-79.437104,0.026914,0
54-AP891213-0130,18.716898,1.838617,2.830793,7.139724,-80.595431,0.044933,0
54-AP891213-0173,15.428896,1.647981,2.658292,6.886982,-80.924385,0.040103,0
54-AP891213-0243,7.72056,1.788351,2.431917,8.142653,-80.235379,0.016739,0
54-AP891214-0102,3.858893,0.748016,1.2466,3.85565,-83.409707,0.007772,0
54-AP891215-0209,6.151054,0.54575,0.738424,1.445024,-84.506628,0.014266,0
54-AP891216-0028,15.022308,1.407986,2.220515,5.07678,-82.309159,0.041645,0
54-AP891216-0112,2.484007,0.758085,1.024417,4.265987,-82.720551,0.006084,0
54-AP891216-0132,16.001814,1.526891,2.416024,5.594254,-81.616271,0.054551,0
54-AP891220-0279,6.231821,0.739299,0.975683,4.098604,-82.720892,0.005874,0
54-AP891221-0120,3.481481,0.912744,1.496487,4.659891,-82.71745,0.009981,0
54-AP891229-0100,2.366388,1.207448,1.570827,5.11622,-82.429258,0.010629,0
54-AP890617-0140,11.961824,2.573697,3.351379,9.02456,-79.265953,0.039474,0
54-AP890617-0038,8.356955,2.26975,2.970254,8.431268,-79.826371,0.029884,0
54-AP890303-0154,10.158159,2.363292,2.955712,8.501247,-79.134103,0.03623,0
54-AP890601-0246,14.26304,1.826661,2.885263,6.752953,-81.461503,0.047181,0
54-AP890310-0341,14.347704,1.852083,2.799825,6.67177,-81.615746,0.035397,0
54-AP890312-0085,14.347704,1.843108,2.786128,6.667499,-81.615793,0.03472,0
54-AP891218-0109,13.621861,1.935596,2.780092,7.787275,-80.637168,0.024397,0
54-AP890308-0093,15.403065,2.003967,2.776285,6.404796,-81.210002,0.051381,0
54-AP890119-0289,14.095973,1.91241,2.760223,8.263329,-79.946297,0.023472,0
54-AP890622-0170,8.094085,2.467407,2.746546,6.983031,-79.249797,0.052353,0
54-AP890203-0153,16.640574,1.734849,2.739944,7.485114,-80.414941,0.030207,0
54-AP890513-0012,4.288465,1.757968,2.731619,7.249889,-80.92454,0.027803,0
54-AP890307-0256,17.1243,2.090425,2.711276,7.131018,-80.70034,0.031592,0
54-AP890616-0260,6.474496,2.10822,2.669619,7.787144,-80.077996,0.02869,0
54-AP890609-0217,19.916666,1.990926,2.655457,8.085372,-79.72336,0.022906,0
54-AP890303-0031,16.866573,1.625571,2.647577,6.97374,-80.519665,0.0484,0
54-AP890106-0222,7.014079,1.6539,2.529619,6.159729,-82.021351,0.028754,0
54-AP891207-0107,14.605645,1.540264,2.476285,6.161323,-80.701874,0.038575,0
54-AP890811-0113,12.823084,1.646812,2.475317,6.138372,-81.798596,0.029008,0
54-AP890811-0035,12.823084,1.621536,2.439923,6.126005,-81.798751,0.027552,0
54-AP891219-0009,15.888302,1.504711,2.401959,5.899394,-81.211882,0.038567,0
54-AP890728-0087,9.674499,1.563504,2.387571,6.103727,-82.021864,0.023945,0
54-AP890826-0140,16.956264,2.002834,2.387155,6.308404,-79.708642,0.04446,0
54-AP891206-0170,18.485365,1.927598,2.368104,6.310176,-81.105764,0.028407,0
54-AP891214-0025,11.348852,1.435767,2.360066,6.319514,-81.417188,0.031988,0
54-AP890513-0020,15.543463,1.476736,2.345318,5.486184,-81.867647,0.043082,0
54-AP891201-0039,15.355284,1.460526,2.338604,5.328233,-82.203798,0.041645,0
54-AP891026-0001,9.607154,1.735788,2.335325,7.234103,-80.808412,0.017821,0
54-AP890604-0056,16.370754,1.610913,2.335174,6.15274,-81.511815,0.025321,0
54-AP890310-0094,14.913166,1.432165,2.317056,5.809932,-81.463393,0.03052,0
54-AP890205-0082,16.41829,1.462415,2.316284,5.744161,-82.426925,0.023084,0
54-AP890314-0246,15.788128,1.544356,2.31243,6.698428,-81.330782,0.019034,0
54-AP891208-0081,11.806805,1.442181,2.302696,5.657689,-81.645218,0.033524,0
54-AP891127-0172,14.876306,2.025163,2.296212,6.121301,-80.595414,0.03201,0
54-AP890530-0151,16.091455,2.136937,2.292086,5.34695,-80.634933,0.054905,0
54-AP891212-0091,15.331604,1.438305,2.290982,5.404945,-82.02185,0.037215,0
54-AP890629-0207,13.884419,1.939875,2.290769,6.400145,-81.328818,0.021177,0
54-AP890619-0002,10.967309,1.619777,2.274889,5.655314,-82.021538,0.026792,0
54-AP890713-0257,10.689904,1.921444,2.268136,6.005627,-81.105805,0.028152,0
54-AP890512-0252,12.347448,2.001529,2.267733,6.581774,-80.232489,0.023921,0
54-AP890721-0245,8.370951,1.837678,2.25502,5.922238,-81.616134,0.023825,0
54-AP890602-0189,11.741493,1.568245,2.254208,5.497053,-82.308987,0.024515,0
54-AP890127-0097,16.291718,1.432566,2.24875,6.027384,-82.02233,0.024172,0
54-AP890112-0178,9.262644,2.054234,2.241656,5.560236,-80.230539,0.04814,0
54-AP890817-0084,8.884058,1.337453,2.240642,4.814322,-82.714137,0.056185,0
54-AP890104-0276,12.962117,1.479054,2.234136,4.951431,-82.15477,0.057772,0
54-AP890807-0095,15.847829,1.508921,2.230374,6.346786,-81.176988,0.022119,0
54-AP890729-0080,11.860145,1.968566,2.213258,5.477735,-81.615409,0.028931,0
54-AP890925-0086,14.385958,1.451178,2.209421,5.620082,-82.204217,0.023706,0
54-AP891206-0172,12.66184,1.447695,2.192261,5.650264,-82.022221,0.024935,0
54-AP891120-0134,14.279144,1.388138,2.191108,5.484264,-81.734954,0.031879,0
54-AP890520-0030,16.99158,1.57156,2.190846,6.304014,-81.512678,0.018986,0
54-AP890522-0344,9.710271,1.84856,2.190166,5.398858,-81.210887,0.036155,0
54-AP890211-0046,7.765958,1.354466,2.182309,4.611477,-83.001757,0.040629,0
54-AP890810-0071,12.439764,1.336451,2.182307,5.454661,-82.022554,0.026491,0
54-AP890529-0154,11.946907,1.714383,2.18209,6.766972,-80.703403,0.019072,0
54-AP890927-0154,10.209578,1.456436,2.177685,6.041201,-81.617998,0.020899,0
54-AP890531-0304,10.138698,1.471268,2.175136,6.856906,-81.618866,0.014433,0
54-AP890425-0293,12.316326,1.466369,2.167866,6.618078,-81.513671,0.016348,0
54-AP890310-0339,14.666943,1.666925,2.163728,5.752237,-81.042261,0.03096,0
54-AP890504-0255,15.480427,1.982116,2.161461,5.080175,-80.768588,0.056879,0
54-AP890122-0095,10.579261,1.986862,2.161054,5.071593,-80.768557,0.057591,0
54-AP891205-0102,14.609943,1.393378,2.15972,5.283221,-81.61685,0.04728,0
54-AP891020-0307,12.277716,1.758022,2.157499,5.693945,-81.733958,0.023588,0
54-AP890310-0008,15.201014,1.375508,2.157427,5.122669,-82.155371,0.037439,0
54-AP890805-0125,13.631828,1.352032,2.15557,5.606094,-81.645994,0.025382,0
54-AP890223-0278,11.86578,1.50895,2.153943,5.783512,-81.799512,0.022146,0
54-AP891107-0264,5.905188,1.726083,2.150004,6.992966,-80.639474,0.019072,0
54-AP890607-0247,8.539463,1.370176,2.145473,6.088296,-82.023199,0.016758,0
54-AP890306-0079,11.11978,1.567199,2.140626,6.754035,-81.108786,0.017204,0
54-AP891124-0019,13.138861,1.292423,2.135256,5.220102,-82.309853,0.027552,0
54-AP891025-0049,13.42465,1.321671,2.12947,5.446211,-81.98199,0.023975,0
54-AP890608-0176,16.806433,1.498543,2.129152,6.783133,-81.331908,0.015172,0
54-AP890712-0244,7.046152,1.387049,2.115937,6.090305,-81.464887,0.019224,0
54-AP890307-0233,12.823084,1.236141,2.115802,5.064924,-82.10913,0.04405,0
54-AP890814-0064,12.872282,1.454654,2.114715,6.040214,-81.618014,0.020831,0
54-AP890106-0104,13.740675,1.303463,2.11319,5.561197,-81.800238,0.022264,0
54-AP891121-0072,13.535534,1.328172,2.110738,5.345792,-82.022616,0.025839,0
54-AP890516-0231,12.667846,1.378671,2.110381,4.983306,-82.021974,0.038981,0
54-AP890329-0082,8.757417,1.784414,2.108714,4.919704,-81.797835,0.039232,0
54-AP890429-0132,15.774074,1.610994,2.107146,6.83292,-80.926878,0.016336,0
54-AP891117-0009,13.590862,1.708828,2.105934,6.911045,-80.821408,0.017723,0
54-AP890623-0099,13.239183,1.219783,2.104109,5.147555,-81.799462,0.048097,0
54-AP890612-0104,12.462641,1.447805,2.098349,5.487085,-82.309655,0.019379,0
54-AP890814-0119,11.243011,1.31038,2.098281,5.522274,-81.800176,0.022688,0
54-AP890623-0163,10.952063,1.87235,2.097112,5.251612,-81.733295,0.028068,0
54-AP891004-0189,12.026959,1.491382,2.096659,5.539775,-81.617051,0.032544,0
54-AP890120-0259,11.589888,1.459309,2.094117,5.841616,-81.73561,0.01905,0
54-AP890118-0286,8.117405,1.334544,2.087648,4.726711,-82.71452,0.032409,0
54-AP890320-0033,12.796474,1.348679,2.086971,6.759703,-81.737311,0.013199,0
54-AP890608-0248,15.404588,1.94447,2.084458,5.629427,-79.722182,0.032208,0
54-AP890320-0022,14.621623,1.345507,2.082737,5.235489,-81.704162,0.038444,0
54-AP890726-0031,9.088587,1.2133,2.080797,5.052324,-82.109317,0.040293,0
54-AP891101-0199,13.188403,1.830736,2.078639,5.471856,-81.616175,0.023588,0
54-AP890630-0177,9.771251,1.747065,2.078612,5.185072,-81.328593,0.04117,0
54-AP890504-0274,7.363362,1.716813,2.077787,5.417986,-82.021309,0.021463,0
54-AP890427-0028,12.129131,1.365783,2.07192,6.094042,-81.800677,0.017087,0
54-AP890713-0003,4.921244,1.746497,2.06929,5.292526,-82.021143,0.022432,0
54-AP890803-0224,12.037088,1.325744,2.066435,4.47655,-82.714189,0.052955,0
54-AP890815-0095,8.018775,1.251879,2.058423,4.132806,-83.407015,0.041538,0
54-AP890721-0215,10.948549,1.575067,2.057137,4.597197,-82.713644,0.029201,0
54-AP891219-0016,10.34907,1.353884,2.053673,6.084959,-81.800785,0.016733,0
54-AP890926-0160,8.911892,1.889095,2.041367,4.538368,-81.797338,0.05111,0
54-AP890910-0044,12.66965,1.251832,2.03978,5.262396,-81.800186,0.027502,0
54-AP890214-0209,3.344682,1.851588,2.03714,4.609826,-81.797509,0.046281,0
54-AP890726-0125,16.629555,1.913672,2.031416,4.916002,-80.922988,0.047504,0
54-AP890216-0167,9.448754,1.780137,2.029554,4.835433,-81.733498,0.035864,0
54-AP890711-0005,13.409569,1.218096,2.028231,5.631025,-81.513994,0.020585,0
54-AP891128-0010,13.216154,1.246385,2.025573,5.277414,-82.205196,0.020591,0
54-AP891128-0083,13.351289,1.254961,2.021986,5.095252,-82.427812,0.021856,0
54-AP890707-0248,6.303597,1.33641,2.014925,4.719972,-82.491656,0.031664,0
54-AP890908-0202,8.520631,1.570075,2.010359,6.28528,-81.331205,0.016684,0
54-AP890614-0195,12.477106,1.100041,2.005441,5.159447,-82.561581,0.02297,0
54-AP890825-0107,13.983729,1.931057,2.004366,4.871848,-80.594701,0.055892,0
54-AP891020-0295,6.375127,1.409491,2.00146,4.47231,-83.119094,0.022264,0
54-AP890706-0020,8.585676,1.858066,2.00137,4.64699,-81.461332,0.051002,0
54-AP890308-0025,11.860068,1.161507,2.000792,5.021297,-82.109782,0.033238,0
54-AP890116-0070,9.787869,1.621396,1.998733,6.519492,-81.33138,0.01478,0
54-AP890515-0127,4.910744,1.865681,1.995585,4.876992,-80.923112,0.049542,0
54-AP890810-0085,13.023104,1.16155,1.993661,6.190761,-82.024845,0.014266,0
54-AP890303-0002,14.160549,1.279934,1.983677,4.312325,-82.896562,0.041838,0
54-AP890421-0259,11.612062,1.389794,1.983136,6.507996,-81.619673,0.012958,0
54-AP890105-0253,4.205719,1.840691,1.981683,4.218593,-82.307806,0.046925,0
54-AP891201-0056,12.145867,1.669127,1.979682,5.107077,-81.211508,0.036499,0
54-AP890306-0144,8.342109,1.496643,1.979334,5.639833,-81.21303,0.025782,0
54-AP891006-0259,4.921244,1.713175,1.977235,5.137497,-82.021329,0.021347,0
54-AP890718-0156,13.76367,1.291334,1.976158,4.517272,-82.426911,0.048629,0
54-AP890805-0053,13.657344,1.270467,1.974921,5.106427,-82.022781,0.027204,0
54-AP890916-0011,12.210979,1.431972,1.972738,5.346174,-81.735145,0.0271,0
54-AP890329-0151,8.918533,1.866291,1.967314,5.146788,-80.413715,0.038673,0
54-AP890907-0026,9.520616,1.761084,1.967287,5.981852,-80.702948,0.020251,0
54-AP890127-0247,11.313528,1.685487,1.965752,5.419524,-80.52024,0.030544,0
54-AP890928-0171,11.63611,1.399726,1.958698,5.563067,-81.176833,0.033815,0
54-AP890826-0020,9.397903,1.465337,1.958641,5.56107,-81.464111,0.022195,0
54-AP890731-0065,12.904365,1.668573,1.958102,4.744787,-82.021274,0.029661,0
54-AP890720-0141,12.695816,1.278975,1.956322,5.924201,-82.023975,0.014307,0
54-AP890827-0024,8.466605,1.829645,1.954329,5.079096,-80.883315,0.030629,0
54-AP890724-0264,10.181981,1.692799,1.947435,5.40875,-79.915841,0.031407,0
54-AP890118-0087,9.151518,1.813815,1.94703,4.715376,-81.615948,0.032641,0
54-AP890620-0016,8.142962,1.798341,1.944993,4.801469,-81.174582,0.039289,0
54-AP890817-0206,13.089888,1.429497,1.944629,4.950675,-82.427112,0.021579,0
54-AP890222-0289,10.07676,1.225601,1.943481,4.866668,-82.492319,0.02216,0
54-AP890922-0183,13.76367,1.270139,1.940349,4.506519,-82.427035,0.044425,0
54-AP890612-0017,7.708146,1.486352,1.939146,5.571201,-81.618107,0.017956,0
54-AP890515-0151,9.597004,1.619055,1.93886,4.98392,-81.798767,0.027415,0
54-AP890519-0002,13.123892,1.406172,1.936799,5.866641,-81.214566,0.016437,0
54-AP890806-0034,14.05349,1.250638,1.935,5.125835,-81.905371,0.026491,0
54-AP890215-0195,8.409182,1.638335,1.9336,5.714053,-81.176392,0.023511,0
54-AP891030-0205,13.200535,1.801104,1.931192,4.877447,-81.328903,0.029897,0
54-AP890227-0197,7.261708,1.382047,1.930037,5.200984,-82.204682,0.020629,0
54-AP890916-0050,11.765901,1.728195,1.927724,5.360146,-81.329466,0.025321,0
54-AP890727-0016,13.349326,1.211394,1.92689,4.761929,-82.715162,0.021463,0
54-AP891228-0176,8.353916,1.772292,1.924128,5.124691,-80.770576,0.029275,0
54-AP890317-0056,8.965101,1.313111,1.923574,6.731293,-81.334101,0.011871,0
54-AP890624-0073,12.009395,1.171672,1.923255,4.087486,-83.407284,0.028407,0
